Name,Age,Gender,Education_Level,Field_of_Study,Degrees,Institute_Name,Graduation_Year,Experience_Years,Current_Job_Title,Previous_Job_Titles,Skills,Certifications,Target_Job_Description
Sarah Jackson,35,Non-Binary,PhD,Machine Learning,PhD in Machine Learning,Carnegie Mellon University,2018,0,None,None,"Docker, Cloud Computing, Azure, Network Security, Cybersecurity",CompTIA Security+,Targeting a Site Reliability Engineer position to utilize my educational background and experience to drive results and achieve career objectives.
Emma Pillai,32,Male,Master's,Artificial Intelligence,Master's in Artificial Intelligence,Chennai University,2019,0,None,None,"CI/CD, Jenkins, Statistics, JavaScript",Google Cloud Professional,"Seeking a Cloud Engineer position to design, implement, and maintain scalable cloud infrastructure using AWS, Azure, or Google Cloud Platform."
Arya Srinivasan,34,Male,PhD,Computer Engineering,PhD in Computer Engineering,Technical University of Munich,2024,1,AI Ethics Officer,None,"TensorFlow, Network Security, Python, AWS, Ansible","Google Cloud Professional, AWS Certified Solutions Architect","Targeting a UI/UX Designer role to contribute to the entire design process from concept to implementation, ensuring optimal user satisfaction and usability."
Diya Bansal,45,Male,Master's,Machine Learning,Master's in Machine Learning,London School of Economics,2019,6,Mobile Applications Developer,None,"Docker, Linux, SQL, GraphQL, Microservices, Deep Learning, REST APIs","Google Data Analytics Professional, AWS Certified Solutions Architect",Targeting a Mobile Applications Developer position to utilize my educational background and experience to drive results and achieve career objectives.
Sarah Zhou,43,Female,Master's,Information Technology,Master's in Information Technology,Birla Institute of Technology,2015,3,Cybersecurity Engineer,Cybersecurity Analyst,"SQL, PyTorch, Terraform, React, DevOps, Kafka, Penetration Testing, Java",None,Targeting a Cybersecurity Engineer position to utilize my educational background and experience to drive results and achieve career objectives.
Diya Wilson,33,Non-Binary,High School,Computer Science,High School in Computer Science,Carnegie Mellon University,2016,4,Prompt Engineer,Cybersecurity Analyst,"TensorFlow, GraphQL, Java, DevOps, Linux, Microservices, Computer Vision",None,Seeking a challenging role as a Prompt Engineer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Mason Martin,42,Male,Bachelor's,Cybersecurity,Bachelor's in Cybersecurity,Delhi University,2019,6,Data Scientist,Product Manager,"React, Git, Microservices, MongoDB","Microsoft Azure Fundamentals, Certified Ethical Hacker","Targeting a DevOps Engineer role to work with containerization technologies, configuration management tools, and cloud platforms to optimize software delivery."
Aryan Garcia,36,Non-Binary,Master's,Artificial Intelligence,"Master's in Artificial Intelligence, Bachelor's in Computer Science",University of Oxford,2023,2,Cloud Engineer,None,"React, Linux, Cybersecurity, Ansible, GraphQL, Node.js","AWS Certified Solutions Architect, Certified Ethical Hacker, Project Management Professional","Targeting a Cloud Engineer position to contribute to cloud migration projects and build resilient, scalable cloud-native applications."
David Bansal,30,Non-Binary,Bachelor's,Information Technology,Bachelor's in Information Technology,Indian Institute of Technology Delhi,2022,2,Cybersecurity Engineer,None,"Machine Learning, Docker, CI/CD, Terraform, Kubernetes, Natural Language Processing, Blockchain, Solidity",None,Seeking a challenging role as a Cybersecurity Engineer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Aadhya Kumar,36,Female,Master's,Electronics Engineering,Master's in Electronics Engineering,All India Institute of Medical Sciences,2016,8,Site Reliability Engineer,Cloud Architect,"Machine Learning, Kafka, Cloud Computing, Statistics, JavaScript, Kubernetes",None,Targeting a Full-Stack Developer position to utilize my educational background and experience to drive results and achieve career objectives.
James Chen,31,Non-Binary,Bachelor's,Robotics,Bachelor's in Robotics,Georgia Institute of Technology,2025,0,None,None,"Natural Language Processing, Linux, Agile, Machine Learning, Cybersecurity, Jenkins",None,Targeting a Mobile Applications Developer position to utilize my educational background and experience to drive results and achieve career objectives.
Priya Sharma,21,Non-Binary,Bachelor's,Information Systems,Bachelor's in Information Systems,Bangalore University,2021,2,Frontend Developer,None,"REST APIs, Terraform, SQL, Node.js, Kafka, Java, Solidity",None,Targeting a Frontend Developer position to utilize my educational background and experience to drive results and achieve career objectives.
Aadhya Jain,35,Female,PhD,Machine Learning,PhD in Machine Learning,Chennai University,2015,9,AI Engineer,Cybersecurity Engineer,"Java, Data Analysis, Scrum, PyTorch, SQL","Oracle Certified Professional, CompTIA Security+","Aspiring to join a dynamic team as an AI Engineer where I can leverage my expertise in deep learning, natural language processing, and computer vision to build innovative AI products and services."
Ankit Davis,39,Non-Binary,Master's,Information Systems,Master's in Information Systems,University of Oxford,2018,0,None,None,"Spark, Jenkins, TensorFlow, Node.js, Azure, Ansible, Terraform, Computer Vision",Google Data Analytics Professional,Targeting a Software Engineer position to work on challenging technical problems and build innovative applications that deliver value to users.
Christopher Menon,40,Female,Master's,Machine Learning,Master's in Machine Learning,SRM Institute of Science and Technology,2015,6,AI Engineer,Full-Stack Developer,"React, Linux, Blockchain, GraphQL, Data Analysis, AWS, Cybersecurity","Certified Information Systems Security Professional, Google Data Analytics Professional, AWS Certified Solutions Architect","Seeking a challenging role as an AI Engineer to develop and implement cutting-edge artificial intelligence solutions. Looking to work on machine learning models, neural networks, and AI-driven applications that solve real-world business problems."
Emily Gupta,39,Male,Certificate,Data Science,Certificate in Data Science,Indian Institute of Technology Bombay,2022,0,None,None,"Node.js, Natural Language Processing, PyTorch, Kubernetes, Agile, Git, Spark",None,Targeting a Frontend Developer position to utilize my educational background and experience to drive results and achieve career objectives.
Sarah Anderson,29,Male,Bachelor's,Data Science,Bachelor's in Data Science,London School of Economics,2024,0,None,None,"Agile, DevOps, Natural Language Processing, Node.js","Oracle Certified Professional, Google Cloud Professional, Project Management Professional",Seeking a challenging role as a Prompt Engineer where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Abhinav Hernandez,31,Non-Binary,Bachelor's,Software Engineering,Bachelor's in Software Engineering,University of California Berkeley,2024,0,None,None,"React, Git, Blockchain, Node.js, MongoDB, Spark, DevOps","Certified Ethical Hacker, Oracle Certified Professional","Targeting a Data Scientist position where I can utilize my expertise in Python, R, SQL, and machine learning algorithms to solve business challenges through data analysis and predictive modeling."
Jessica Venkatesh,21,Female,Bachelor's,Artificial Intelligence,Bachelor's in Artificial Intelligence,Indian Institute of Technology Delhi,2024,0,None,None,"MongoDB, Agile, Java, Cybersecurity, DevOps, Kafka, PyTorch, Spark",None,Targeting a Cloud Architect position to utilize my educational background and experience to drive results and achieve career objectives.
Arjun Lee,37,Female,Bachelor's,Machine Learning,Bachelor's in Machine Learning,Technical University of Munich,2024,0,None,None,"TensorFlow, Natural Language Processing, Azure, JavaScript, React, Jenkins, Git","Google Data Analytics Professional, Project Management Professional, Certified Information Systems Security Professional",Seeking a challenging role as a Cloud Architect where I can apply my skills and knowledge to contribute to organizational success and professional growth.
Priya Martinez,40,Female,Bachelor's,Computer Science,Bachelor's in Computer Science,Vellore Institute of Technology,2016,7,MLOps Specialist,"Cloud Architect, Frontend Developer, Prompt Engineer","Docker, React, Natural Language Processing, Cloud Computing, Kafka, Blockchain, Scrum, PyTorch",Project Management Professional,Targeting a MLOps Specialist position to utilize my educational background and experience to drive results and achieve career objectives.
Meera Anderson,40,Female,Bachelor's,Software Engineering,Bachelor's in Software Engineering,Columbia University,2020,3,Cloud Engineer,None,"JavaScript, Network Security, Deep Learning, Python, Jenkins, Terraform, Cybersecurity",Certified Kubernetes Administrator,"Seeking a Cloud Engineer position to design, implement, and maintain scalable cloud infrastructure using AWS, Azure, or Google Cloud Platform."
Charlotte Sharma,23,Female,High School,Information Technology,High School in Information Technology,Birla Institute of Technology,2018,2,Machine Learning Engineer,None,"Solidity, PyTorch, CI/CD, JavaScript, Java, Kafka",Cisco Certified Network Associate,Targeting a Machine Learning Engineer position to utilize my educational background and experience to drive results and achieve career objectives.
Jackson Johnson,27,Male,Bachelor's,Computer Engineering,Bachelor's in Computer Engineering,University of Pennsylvania,2018,5,Cloud Engineer,"Cloud Architect, Site Reliability Engineer","Azure, Microservices, AWS, Agile",Cisco Certified Network Associate,"Targeting a Cloud Engineer position to contribute to cloud migration projects and build resilient, scalable cloud-native applications."
